	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
X21402	1	1	0.432658800000001	0.558426060606061	1	1	1	1	1	1	1	1
X51910	1	1	1	1	1	1	1	1	1	1	1	1
X13069	1	1	1	1	1	1	1	1	1	1	1	1
X47051	1	1	1	1	1	1	1	1	1	1	1	1
X32256	1	1	1	1	1	1	1	1	1	1	1	1
X46651	1	1	1	1	1	1	1	1	1	1	1	1
X21136	1	1	1	1	1	1	1	1	1	1	1	1
X44623	1	1	1	1	1	1	1	1	0.949079803278688	1	1	1
X5748	1	1	1	1	1	1	1	1	1	1	1	1
X25493	1	1	1	1	1	1	1	1	1	1	1	1
X28479	0.0127177777777778	1	0.0962747663551296	0.0875282352941304	1	1	1	1	1	1	1	1
X26328	1	1	1	1	1	1	1	1	1	1	1	1
X40108	1	1	1	1	1	1	1	1	1	1	1	1
X38058	1	1	1	1	1	1	1	1	1	1	1	1
X89	0.916951777777777	1	1	1	1	1	1	1	1	1	1	1
X32240	1	1	1	1	1	1	1	1	1	1	1	1
X25021	1	1	1	1	0.371939651837527	1	0.284633060240973	1	0.61514397365532	1	0.398763870967745	1
X12206	1	1	1	1	1	1	1	1	1	1	1	1
X45816	1	1	1	1	1	1	0.806642180402336	1	1	1	1	1
X20581	1	1	1	1	1	1	1	1	1	1	1	1
X34352	1	1	0.679517085330776	0.603321869158876	1	1	1	1	1	1	1	0.988843136212626
X50900	1	1	1	1	1	1	1	1	1	1	1	1
X46424	1	1	1	1	1	1	1	1	1	1	1	1
X27696	1	1	1	1	1	1	1	1	1	1	1	1
X33722	1	1	1	1	1	1	1	1	1	1	0.606147088036121	1
X642	1	1	1	1	1	1	1	1	1	1	1	1
X35404	1	1	1	1	1	1	1	1	1	1	1	1
X14743	1	1	1	1	1	1	1	1	1	1	1	1
X16623	1	1	1	1	1	1	1	1	1	1	1	1
X53266	1	1	1	1	1	1	1	1	1	1	1	1
X34530	1	1	1	1	0.761595967383246	1	1	0.44760076677316	1	1	1	1
X17350	1	1	1	1	1	1	1	1	1	1	1	1
X52316	1	1	1	1	1	1	1	1	1	1	1	1
X19145	1	1	1	1	1	1	1	0.47575547826087	1	1	1	1
X5592	1	1	1	1	1	1	1	1	1	1	1	1
X35663	1	1	1	1	1	1	1	1	1	1	1	1
X35469	1	1	1	1	1	1	1	1	1	1	1	1
X3738	1	1	1	1	1	1	1	1	1	1	1	1
X43062	1	1	1	1	1	1	1	1	1	1	1	1
X46092	1	1	1	1	1	1	1	1	1	1	1	1
X412	0.0127177777777778	1	1	0.0127177777777778	0.0127177777777778	1	1	1	1	1	1	1
X42720	1	1	1	1	1	1	1	1	1	1	1	1
X52025	1	1	1	1	1	1	1	1	1	1	1	1
X15790	1	1	1	1	1	1	1	1	1	1	1	1
X18421	1	1	1	1	0.957040251374704	1	1	0.957269224745496	1	1	1	1
X3721	1	1	1	1	1	1	1	1	1	1	1	1
X54895	1	1	1	1	1	1	1	1	1	1	1	1
X14959	1	1	1	1	1	1	1	1	1	1	1	1
X5204	1	0.964957287136013	1	1	1	1	1	1	1	0.971914695652173	1	1
X19787	1	1	1	1	1	1	1	1	1	1	1	1
X44816	1	1	1	1	1	1	1	1	1	1	1	1
X5224	1	1	1	1	1	1	1	1	1	1	1	1
X33898	1	1	1	1	1	1	1	1	1	1	1	1
X41689	0.675392015579357	1	0.141712380952371	0.196856286644949	1	1	1	1	1	1	1	1
X55123	1	1	1	1	0.933702007961079	1	0.791989354838707	1	1	1	1	1
X16898	1	1	1	1	1	1	1	0.976090584438867	1	1	1	1
X27220	1	1	1	1	0.955275977473855	1	1	1	1	1	1	1
X48488	1	0.675347565982402	1	1	1	1	1	1	1	0.976840631868132	1	0.87902478327384
X4664	1	1	1	1	1	1	1	1	1	1	1	1
X46299	1	1	1	1	1	1	1	1	1	1	1	1
