individual	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
G317	2	421	NA	1	1.45	NA	NA	1.45	0.645892857142857	NA	421	176.517857142857
G333	2	294	NA	1	1.41	NA	NA	1.41	0.605892857142857	NA	294	49.5178571428572
G336	1	366	0	0	2.79	0	2.79	NA	1.15300884955752	366	NA	93.5398230088496
G338	2	320	NA	1	0.75	NA	NA	0.75	-0.0541071428571425	NA	320	75.5178571428572
G354	1	284	1	1	0.97	0	0.97	NA	-0.666991150442478	284	NA	11.5398230088496
G359	1	352	1	1	1.32	0	1.32	NA	-0.316991150442478	352	NA	79.5398230088496
G381	1	380	0	0	1.38	1	1.38	NA	-0.256991150442478	380	NA	107.53982300885
G390	1	306	0	0	1.02	0	1.02	NA	-0.616991150442478	306	NA	33.5398230088496
G085	2	59	NA	NA	0.22	NA	NA	0.22	-0.584107142857142	NA	59	-185.482142857143
G264	1	256	1	0	1.55	0	1.55	NA	-0.0869911504424779	256	NA	-16.4601769911504
G292	2	201	NA	NA	0.82	NA	NA	0.82	0.0158928571428575	NA	201	-43.4821428571428
